S.R.No.,Title,Colors,Case_style,,
1.jpg,The great wall of china,Brown,"cities-and-travel, nature-and-landscape",retro,
2.jpg,Pinkcity,Orange,"cities-and-travel, desi",movies-and-television, 
3.jpg,Royal Palace,Yellow,"cities-and-travel, desi",sports,
4.jpg,palais royal,Yellow,cities-and-travel,cities-and-travel,
5.jpg,Gateway Of India,"Pink,Red",cities-and-travel,graphic,
6.jpg,City That Never Sleeps,"Yellow,White",cities-and-travel,illustration,
7.jpg,Opera House ,"Blue,White",cities-and-travel,religion-and-spirituality,
8.jpg,Colosseum,"Green,Brown",cities-and-travel,quirky,
9.jpg,Roman Art,Yellow,cities-and-travel,famous,
10.jpg,Heritage Art,"Brown , Orange , Yellow","cities-and-travel, desi",profession-and-personality,
11.jpg,Black Evil skull,"Black , White","graphic, illustration",gym-and-health,
12.jpg,Soccor Field,"Green , White","sports, retro, quirky, 3d",music,
13.jpg,Yoga lifestyle,"Red , Blue , Yellow","sports, comic-and-cartoon, desi, gym-and-health",hearts,
14.jpg,Shiv Parvati Ganesh,"Blue , White , Orange","religion-and-spirituality, desi",floral,
15.jpg,Retro Phone Booth,"Brown  , Green , Yellow","retro, 3d, quirky",textures-and-patterns,
16.jpg,Gusse pe Kaboo,"Blue, Green, Yellow","comic-and-cartoon, humour, profession-and-personality",party,
17.jpg,Bigg Boss,"Blue , Grey , Red","comic-and-cartoon, profession-and-personality",nature-and-landscape,
18.jpg,Dekho Magar Pyar Se,"Pink , White","animals, desi, humour, movies-and-television, quirky, fashion",typography,
19.jpg,Blue Narrow Stripes Pattern,"Blue , Red , White","textures-and-patterns, fashion",weapon,
20.jpg,Red Narrow Stripes Pattern,"Grey , Red , White","textures-and-patterns, fashion",auto-and-transportation,
21.jpg,Bora Bora,"Blue , Green","cities-and-travel, nature-and-landscape",comic-and-cartoon,
22.jpg,Dream Resort,"Blue , Brown , Green","cities-and-travel, nature-and-landscape",humour,
23.jpg,Beach Holiday,"Blue , Green","cities-and-travel, nature-and-landscape",for-a-cause,
24.jpg,Big Stripes Pattern,"Brown , Red , White","textures-and-patterns, fashion",political,
25.jpg,MultiColour Stripes pattern,"Blue , Green , Yellow","textures-and-patterns, fashion",desi,
26.jpg,Colourful Dots pattern,"Green , Orange , Pink","textures-and-patterns, fashion",zodiac,
27.jpg,Puppy love,"White,Red","animals, comic-and-cartoon, hearts",jerseys,
28.jpg,Indian Parents,"Brown , Red , Yellow","comic-and-cartoon, desi, humour, typography, quirky",animals,
29.jpg,Tequilla Shot,"Red , Yellow","humour, party, typography, quirky",3d,
30.jpg,Redefining cuteness,"Black , Blue , White","animals, comic-and-cartoon, graphic",fashion,
31.jpg,David Villa,"Red , Yellow","famous, jerseys, sports",flags,
32.jpg,Leather Ball,"Red , White , Black","sports, retro",,
33.jpg,Harry Potter,"Red , Yellow","illustration, movies-and-television, comic-and-cartoon",,
34.jpg,Penguin,"Black , White , Yellow","comic-and-cartoon, animals",,
