S.R.No.,Title,Colors,Case_style,,
covers-1-(1).png,Striped Tee,,"fashion, quirky, 3d, humour",weapon,
covers-1-(2).png,Colourful  Tee,,"fashion, quirky, 3d, humour",typography,
covers-1-(3).png,Brown Jacket,,"fashion, quirky, 3d, humour",sports,
covers-1-(5).png,Cowboy Jeans,,"fashion, quirky, 3d, humour",retro,
covers-1-(6).png,Sports Shoes,,"fashion, quirky, 3d, humour",quirky,
covers-1-(7).png,Green Sleeper,,"fashion, quirky, 3d, humour",profession-and-personality,
covers-1-(8).png,Orange Shoes,,"fashion, quirky, 3d, humour",party,
covers-1-(10).png,Black leather Jacket,,"fashion, quirky, 3d, humour",music,
covers-1-(11).png,Give It Up,,"quirky, 3d, party, humour",movies-and-television,
covers-1-(12).png,Energy Boost,,"quirky, 3d, party, humour",humour,
covers-1-(13).png,BAR bar,,"quirky, 3d, party, humour",gym-and-ealth,
covers-1-(14).png,Absolutely Mine,,"quirky, 3d, party, humour",graphic,
covers-1-(15).png,4 Bottle Mocktail,,"quirky, 3d, party, humour",fashion,
covers-1-(16).png,Bar O Licious,,"quirky, 3d, party, humour",famous,
covers-1-(17).png,Coffee Time,,"quirky, 3d, party, humour",desi,
covers-1-(18).png,Beer Mug,,"quirky, 3d, party, humour",corel,
covers-1-(19).png,Keep Calm and Drink,,"quirky, party, humour, typography",comics-and-cartoon,
covers-1-(20).png,Brown Armour Jacket,,"weapon, fashion, retro, 3d",auto-and-transporation,
covers-1-(21).png,Antique Mask ,,"weapon, fashion, retro, 3d",animal,
covers-1-(22).png,Save The World,,"weapon, fashion, retro, 3d",3d,
covers-1-(23).png,Golden Armour Jacket,,"weapon, fashion, retro, 3d",,
covers-1-(24).png,Gothic Jacket,,"weapon, fashion, retro, 3d",,
covers-1-(25).png,Antique Face Mask,,"weapon, fashion, retro, 3d",,
covers-1-(26).png,Broken Glass,,"quirky, 3d, humour",,
covers-1-(27).png,Bullet Holes,,weapon,,
covers-1-(28).png,Metal Bullets,,weapon,,
